,team,year,salary,z_salary
187,Nuggets,2007,81368936,0.06660241513272665
188,Pistons,2007,73287873,-0.4303884968296971
189,Warriors,2007,80741248,0.027999173016204373
190,Rockets,2007,79282220,-0.06173204876720595
191,Pacers,2007,78389763,-0.11661876581386786
192,Clippers,2007,73499106,-0.4173975225845317
193,Lakers,2007,95753265,0.9512485053410988
194,Grizzlies,2007,76951009,-0.20510312270473544
195,Heat,2007,80000986,-0.017527447240453412
196,Bucks,2007,78861141,-0.08762869580710966
197,Timberwolves,2007,82987053,0.16611771943018122
198,Pelicans,2007,66752846,-0.8322971353874045
199,Knicks,2007,145742363,4.02561228683853
200,Thunder,2007,70774042,-0.5849908259056382
201,Magic,2007,76313423,-0.2443150986037569
202,Sixers,2007,85867712,0.3432802218711056
203,Suns,2007,81770509,0.09129942980635143
204,Trailblazers,2007,93178032,0.7928699111900906
205,Kings,2007,79852326,-0.0266701391081364
206,Spurs,2007,81538516,0.07703170133561701
207,Raptors,2007,63358014,-1.0410816296599052
208,Jazz,2007,77452597,-0.17425511699689622
209,Wizards,2007,77911295,-0.1460448756789731
210,Hawks,2008,67125219,-1.2199962076804396
211,Celtics,2008,90114621,0.5242605733925986
212,Nets,2008,74787105,-0.6386719691766031
213,Hornets,2008,65001846,-1.381101213978446
214,Bulls,2008,76296431,-0.5241560670078627
215,Cavaliers,2008,99437130,1.2315799521160828
216,Mavericks,2008,122993727,3.018871072444258
217,Nuggets,2008,100332892,1.2995433964339276
218,Pistons,2008,79700653,-0.26587021391007354
219,Warriors,2008,75164562,-0.6100334716718187
220,Rockets,2008,84532647,0.10074385898335075
221,Pacers,2008,80137708,-0.23270988431768672
222,Clippers,2008,78429615,-0.36230667843844677
223,Lakers,2008,87837661,0.3515025816783267
224,Grizzlies,2008,65453037,-1.3468683547979798
225,Heat,2008,90426833,0.5479487884289173
226,Bucks,2008,75676421,-0.5711975971369672
227,Timberwolves,2008,83504357,0.0227252221606272
228,Pelicans,2008,75722948,-0.5676674907317207
229,Knicks,2008,116336050,2.513738392027255
230,Thunder,2008,73608119,-0.728124244850854
231,Magic,2008,70348179,-0.9754631034645422
232,Sixers,2008,89544699,0.48101933061548297
233,Suns,2008,86260859,0.23186712613626745
234,Trailblazers,2008,88580906,0.40789422384668894
235,Kings,2008,76682313,-0.4948783461174269
236,Spurs,2008,84719392,0.11491261520334657
237,Raptors,2008,79874205,-0.2527024397822912
238,Jazz,2008,78564038,-0.35210770809192876
239,Wizards,2008,78950946,-0.32275214231203564
240,Hawks,2009,78503744,-0.4145278829596628
241,Celtics,2009,91194611,0.7934723567166526
242,Nets,2009,72167232,-1.0176787957154145
243,Hornets,2009,72398015,-0.9957113509921172
244,Bulls,2009,78455300,-0.4191391016897054
245,Cavaliers,2009,105139724,2.120859984867929
246,Mavericks,2009,109455171,2.5316326302916368
247,Nuggets,2009,80751866,-0.2005368361051337
248,Pistons,2009,82264127,-0.05658988193303935
249,Warriors,2009,77637258,-0.49700572278543453
250,Rockets,2009,84415439,0.14818615201472274
251,Pacers,2009,80231127,-0.2501042011093375
252,Clippers,2009,72279725,-1.0069709716587991
253,Lakers,2009,90108437,0.6900831672837965
254,Grizzlies,2009,64441813,-1.7530350171303866
255,Heat,2009,80954614,-0.18123794718021677
256,Bucks,2009,82179460,-0.0646490441867037
257,Timberwolves,2009,76518718,-0.6034757210989892
258,Pelicans,2009,77768980,-0.4844675559627388
259,Knicks,2009,111295544,2.7068114439293356
260,Thunder,2009,78702697,-0.3955902271096471
261,Magic,2009,80235918,-0.24964816219975872
262,Sixers,2009,78655946,-0.40004029495805393
263,Suns,2009,87672343,0.45819970842523045
264,Trailblazers,2009,92428079,0.9108819584115617
265,Kings,2009,79696428,-0.30100037078432396
266,Spurs,2009,78332898,-0.430790129577466
267,Raptors,2009,84582077,0.16404785349967108
268,Jazz,2009,75823452,-0.6696557145256631
269,Wizards,2009,81468527,-0.13232032577793004
270,Hawks,2010,76970285,-0.47757067573261713
271,Celtics,2010,97612009,1.3755051948718457
272,Nets,2010,69356712,-1.1610663186055492
